UTC Time, X Position, Y Position, Z Position, X Velocity, Y Velocity, Z Velocity, HDOP, Lat, Lon, Alt (Elipsoide), Alt (AMSL), Speed, Course, Estimated Horizontal Positioning Error, Estimated Vertical Positioning Error, Estimated Horizontal Velocity Error, Clock Bias, Clock Bias Error, Clock Drift, Clock Drift Error, EXTENDED GPS Week, GPS TOW, SVs number, Clock Drift 7, Clock Bias 7, Estimated GPS Time, PRN, GPS Software Time, Azimuth, Elevation, State, X Position, Y Position, Z Position, X Velocity, Y Velocity, Z Velocity, Pseudorange, C/No 1, C/No 2,  C/No 3, C/No 4, C/No 5, C/No 6, C/No 7, C/No 8, C/No 9, C/No 10, Carrier Frequency, Carrier Phase, Delta Range Interval, Mean Delta Range Time, Clock Bias, Clock Drift, Ionospheric Delay, Filtered C/No Max, Filtered C/No Min, Filtered C/No Delta, Check
201569144427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1.32609956E8,0.0,1831539.0,0,1848.0,225883.42,0,96248.0,4423392.0,2.25883421E8,71,225883.42102685888,0.0,0.0,0,2971961.802420196,1.049916133574528E7,2.306174244712417E7,-2779.631290079813,1500.5715650916318,-317.4939737079599,2.195692267104271E7,0,0,0,0,0,0,0,0,0,0,18626.592,2.195692267104271E7,0.0,0.0,2.3427360105423322E-5,1.8189894E-12,0.0,46,45,-1,End,
201569144427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1.32609956E8,0.0,1831539.0,0,1848.0,225883.42,0,96248.0,4423392.0,2.25883421E8,73,225883.42102685888,0.0,0.0,0,-1868010.5969332322,2.520432163673294E7,3639607.282458775,172.55168549753137,-491.028749714276,3525.418912333161,2.3808996609882127E7,0,0,0,0,0,0,0,0,0,0,17728.891,2.3808996609882127E7,0.0,0.0,1.3713625853052554E-4,1.8189894E-12,0.0,44,44,0,End,
201569144427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1.32609956E8,0.0,1831539.0,0,1848.0,225883.42,0,96248.0,4423392.0,2.25883421E8,74,225883.42102685888,303.0,50.0,37,2.0633352584240336E7,-3299092.148629169,1.458222422964167E7,-1821.43913747884,825.8349390549431,2780.2945874275533,2.1568354502031237E7,52,52,52,52,52,52,52,52,52,51,18042.027,2.1568354502031237E7,0.0,0.0,0.0,0.0,0.0,52,52,0,End,
201569144427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1.32609956E8,0.0,1831539.0,0,1848.0,225883.42,0,96248.0,4423392.0,2.25883421E8,12,225883.42102685888,0.0,0.0,53,0.0,0.0,0.0,0.0,0.0,0.0,2.2344351428086866E7,45,45,45,45,45,45,45,45,44,44,18579.041,2.2344362273397192E7,0.0,0.0,0.0,0.0,0.0,45,45,0,End,
201569144427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1.32609956E8,0.0,1831539.0,0,1848.0,225883.42,0,96248.0,4423392.0,2.25883421E8,76,225883.42102685888,0.0,0.0,0,1.3542020274740646E7,-3158640.556014204,2.131723023736939E7,2515.95243871422,1512.8233465592066,-1379.1340196922092,2.2181664636069655E7,0,0,0,0,0,0,0,0,0,0,17656.965,2.2181664636069655E7,0.0,0.0,0.0,0.0,0.0,38,38,0,End,
201569144427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1.32609956E8,0.0,1831539.0,0,1848.0,225883.42,0,96248.0,4423392.0,2.25883421E8,77,225883.42102685888,0.0,0.0,0,2.248404774605799E7,9474544.618120806,7616778.370663748,1012.5929885190774,336.63648180238255,-3399.113281611206,2.3483680838419076E7,0,0,0,0,0,0,0,0,0,0,18512.512,2.3483680838419076E7,0.0,0.0,0.0,0.0,0.0,41,41,0,End,
201569144427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1.32609956E8,0.0,1831539.0,0,1848.0,225883.42,0,96248.0,4423392.0,2.25883421E8,78,225883.42102685888,51.0,14.0,37,-8784815.79584289,1.6000550042118438E7,1.7817318324812245E7,133.18643525403974,-2436.523416759676,2256.0612526779273,2.146988232129372E7,37,37,37,37,37,36,30,32,34,36,18240.033,2.146988232129372E7,0.0,0.0,0.0,0.0,0.0,37,30,-1,End,
201569144427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1.32609956E8,0.0,1831539.0,0,1848.0,225883.42,0,96248.0,4423392.0,2.25883421E8,79,225883.42102685888,51.0,8.0,37,-1.1404472339174142E7,1.5243868989439884E7,1.69644628727558E7,-1988.8739623877618,1213.7712644795238,-2424.4159187348705,2.1894529679267753E7,30,29,29,29,29,29,29,29,29,29,18750.75,2.1894529679267753E7,0.0,0.0,0.0,0.0,0.0,29,29,0,End,
201569144427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1.32609956E8,0.0,1831539.0,0,1848.0,225883.42,0,96248.0,4423392.0,2.25883421E8,82,225883.42102685888,0.0,0.0,0,6384784.241362047,2.003922238520023E7,-1.4403316608758148E7,90.85321832592041,1982.4976461219985,2788.5832685456844,2.2323463709404867E7,0,0,0,0,0,0,0,0,0,0,17558.852,2.2323463709404867E7,0.0,0.0,0.0,0.0,0.0,32,32,0,End,
201569144427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1.32609956E8,0.0,1831539.0,0,1848.0,225883.42,0,96248.0,4423392.0,2.25883421E8,20,225883.42102685888,0.0,0.0,53,0.0,0.0,0.0,0.0,0.0,0.0,2.3147370356591634E7,40,40,40,39,39,39,39,39,39,39,17774.309,2.314738234489122E7,0.0,0.0,0.0,0.0,0.0,39,39,0,End,
